goal_index,source_example_id,condition,seed,transformation_method,selection_stratum,status
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,A,106,identity_copy,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,A,107,identity_copy,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,A,108,identity_copy,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,A,109,identity_copy,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,A,110,identity_copy,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,A,111,identity_copy,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,A,112,identity_copy,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,A,113,identity_copy,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,A,114,identity_copy,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,A,115,identity_copy,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,D,106,puzzle_removal,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,D,107,puzzle_removal,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,D,108,puzzle_removal,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,D,109,puzzle_removal,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,D,110,puzzle_removal,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,D,111,puzzle_removal,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,D,112,puzzle_removal,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,D,113,puzzle_removal,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,D,114,puzzle_removal,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,D,115,puzzle_removal,upper,planned
0,goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,F,106,benign_length_matched_wrapper,upper,planned
