slide,claim_name,value,numerator,denominator,denom_description,status,caveat,authoritative_source
2,total_pipeline_variants,14,14,14,variants run June14-30,VERIFIED,includes 2 behavioral + 6 HVP/DVP + other configurations,SPRINT_SUMMARY §2
2,total_models,2,2,2,model families,VERIFIED,Qwen3-14B and Gemma4-E4B-IT,repo
2,total_harmful_goals,11,11,11,distinct harmful goals,VERIFIED,11 categories across HarmBench and custom,repo
2,total_factorial_rows,1116,1116,1116,JSONL rows in factorial_attack_dataset.jsonl,VERIFIED,668 qwen3 + 448 gemma4,factorial_attack_dataset.jsonl
2,qwen3_factorial_rows,668,668,1116,total factorial rows,VERIFIED,,factorial_attack_dataset.jsonl
2,gemma4_factorial_rows,448,448,1116,total factorial rows,VERIFIED,,factorial_attack_dataset.jsonl
2,total_conditions,5,5,5,experimental conditions A/D/E/F/G,VERIFIED,,factorial_attack_dataset.jsonl
2,intervention_experiments,3,3,3,P11/P14/P16,VERIFIED,,repo
3,qwen3_behavioral_ASR,0.514,113,220,source prompts (11 goals x 20 variants),VERIFIED,1 seed per source; Stage 6 behavioral dataset,SPRINT_SUMMARY §3
3,gemma4_behavioral_ASR,0.300,66,220,source prompts (11 goals x 20 variants),VERIFIED,1 seed per source; Stage 6 behavioral dataset,SPRINT_SUMMARY §3
3,qwen3_behavioral_N,220,220,220,source prompts,VERIFIED,11 goals x 20 variants,SPRINT_SUMMARY §3
3,gemma4_behavioral_N,220,220,220,source prompts,VERIFIED,11 goals x 20 variants,SPRINT_SUMMARY §3
4,qwen3_condition_A_ASR,0.610,177,290,valid A rows (approx),ESTIMATED,From factorial_balanced analysis; exact count from dataset,factorial_balanced qwen3 goal_level_effects
4,gemma4_condition_A_ASR,0.269,62,230,valid A rows (approx),ESTIMATED,From behavioral summary.json N=62/144,subspace_stats_behavioral/summary.json
4,qwen3_interaction_goal_level,0.3751,,,11 goals,VERIFIED,goal-clustered bootstrap; p=0.0268,goal_clustered_interaction_summary.json
4,qwen3_interaction_pvalue,0.0268,,,5000 bootstrap 5000 permutation,VERIFIED,goal-clustered; Bernoulli family,goal_clustered_interaction_summary.json
4,gemma4_interaction_goal_level,0.0339,,,11 goals,VERIFIED,p=0.8016 (NOT significant),goal_clustered_interaction_summary.json
4,gemma4_interaction_pvalue,0.8016,,,5000 bootstrap 5000 permutation,VERIFIED,NOT significant,goal_clustered_interaction_summary.json
4,qwen3_interaction_source_level,0.431,,,26 sources,VERIFIED,source-level; no formal test in this file,factorial_analysis/interaction_effects.csv
4,gemma4_interaction_source_level,0.269,,,18 sources,VERIFIED,source-level; no formal test in this file,factorial_analysis/interaction_effects.csv
4,qwen3_n_goals_positive,11,11,11,goals with positive interaction,VERIFIED,see goal_level_effects.csv,goal_clustered_interaction_summary.json
4,gemma4_n_goals_positive,6,6,11,goals with positive interaction,VERIFIED,NOT 5 as some docs state,goal_clustered_interaction_summary.json
4,bootstrap_samples,5000,5000,,bootstrap iterations,VERIFIED,,goal_clustered_interaction_summary.json
4,permutation_samples,5000,5000,,permutation iterations,VERIFIED,,goal_clustered_interaction_summary.json
5,qwen3_puzzle_specific_goals,4,4,11,goals where A_ASR > D_ASR (Scheme A),VERIFIED,Goals {0 5 7 8}; NOT {0 2 3 5 8 9},06_goal_categories.csv
5,qwen3_puzzle_specific_goal_ids,"{0,5,7,8}",,,,VERIFIED,Scheme A classification,06_goal_categories.csv
5,qwen3_generally_vulnerable_goals,3,3,11,goals where D_ASR high regardless,VERIFIED,Goals {1 3 4} (chemistry/terrorism/weapons),06_goal_categories.csv
5,qwen3_puzzle_hurts_goals,1,1,11,goals where D > A,VERIFIED,Goal 2 (chemical weapons); D=83% > A,06_goal_categories.csv
5,gemma4_puzzle_specific_goals,1,1,11,goals where A_ASR > D_ASR (Scheme A),VERIFIED,Only 1 goal for Gemma4,06_goal_categories.csv
