figure_id,source_path,copied_path,stage,short_title,one_sentence_message,use_in_main_meeting,backup_or_main
01_stage47_behavior_A_D_F,outputs/stage4_7/runs/run_array_20260610_1442/plots/fig3_full_vs_bare_vs_length_matched.png,outputs/meeting/mahmood_20260611/figures/01_stage47_behavior_A_D_F.png,4.7,Behavioral comparison A vs D vs F,Full puzzle (A) outperforms bare target (D) and length-matched benign control (F) across all 12 prompts.,True,main
02_stage47_thinking_tokens,outputs/stage4_7/runs/run_array_20260610_1442/plots/fig2_thinking_length_by_condition.png,outputs/meeting/mahmood_20260611/figures/02_stage47_thinking_tokens.png,4.7,Thinking token distribution by condition,Full puzzle generates 13.97x more thinking tokens than the length-matched benign control at identical prompt length.,True,main
03_stage47_projection_vs_thinking,outputs/stage4_7/runs/run_array_20260610_1442/plots/fig8_projection_vs_thinking_length.png,outputs/meeting/mahmood_20260611/figures/03_stage47_projection_vs_thinking.png,4.7,Layer-22 projection vs log thinking length,Layer-22 projection anti-correlates with thinking depth (Spearman rho=-0.68 condA) not with behavioral success.,True,main
04_stage48_seed_outcomes,outputs/stage4_8/runs/run_array_20260611_0109/plots/fig1_seed_outcomes_by_cell.png,outputs/meeting/mahmood_20260611/figures/04_stage48_seed_outcomes.png,4.8,Seed outcome heatmap per cell,Stochastic replication shows A>D>F trend replicates but goal identity dominates variance.,True,main
05_stage48_variance_decomposition,outputs/stage4_8/runs/run_array_20260611_0109/plots/fig2_within_vs_between_prompt_variability.png,outputs/meeting/mahmood_20260611/figures/05_stage48_variance_decomposition.png,4.8,Within vs between cell variance decomposition,Between-cell variance (3.69x within) confirms that prompt identity and goal structure dominate stochastic variation.,True,main
06_stage48_condition_effects,outputs/stage4_8/runs/run_array_20260611_0109/plots/fig3_condition_effects_with_prompt_fixed_effects.png,outputs/meeting/mahmood_20260611/figures/06_stage48_condition_effects.png,4.8,Condition effects with prompt fixed effects,A>D>F ordering holds after controlling for prompt fixed effects in stochastic replication.,True,main
backup_stage47_heatmap,outputs/stage4_7/runs/run_array_20260610_1442/plots/fig7_per_goal_condition_heatmap.png,outputs/meeting/mahmood_20260611/figures/backup_stage47_heatmap.png,4.7,Per-goal x condition SR score heatmap,A>D>F pattern is consistent across all 4 goals confirming the behavioral effect is not goal-specific.,False,backup
backup_stage47_layer22_projection,outputs/stage4_7/runs/run_array_20260610_1442/plots/fig5_layer22_early_projection.png,outputs/meeting/mahmood_20260611/figures/backup_stage47_layer22_projection.png,4.7,Layer-22 early projection by condition,A<F<D on Layer-22 first-500 projection is opposite to the behavioral ordering A>D>F.,False,backup
backup_stage47_censoring,outputs/stage4_7/runs/run_array_20260610_1442/plots/fig10_complete_case_vs_legacy.png,outputs/meeting/mahmood_20260611/figures/backup_stage47_censoring.png,4.7,Complete-case vs legacy censoring sensitivity,Censoring sensitivity analysis shows results are robust to treatment of 5 censored rows.,False,backup
backup_stage48_matched_cells,outputs/stage4_8/runs/run_array_20260611_0109/plots/fig5_matched_success_failure_projection.png,outputs/meeting/mahmood_20260611/figures/backup_stage48_matched_cells.png,4.8,Matched outcome cells projection,Only 3 matched cells available (threshold <4) triggering Branch C; direction extraction not valid.,False,backup
