prompt_id,prompt_type,compliance,time_point,layer,rank,projection
harmless_0,harmless,,startofthink,17,0,4.191455841064453
harmless_0,harmless,,startofthink,17,1,3.5672383308410645
harmless_0,harmless,,startofthink,17,2,1.3231639862060547
harmless_0,harmless,,startofthink,17,3,-4.447371482849121
harmless_0,harmless,,startofthink,17,4,-0.05652058124542236
harmless_0,harmless,,startofthink,18,0,0.01365584135055542
harmless_0,harmless,,startofthink,18,1,-0.35107430815696716
harmless_0,harmless,,startofthink,18,2,0.993402898311615
harmless_0,harmless,,startofthink,18,3,-1.5899434089660645
harmless_0,harmless,,startofthink,18,4,-1.9696576595306396
harmless_0,harmless,,startofthink,21,0,0.9062402248382568
harmless_0,harmless,,startofthink,21,1,-0.5772749185562134
harmless_0,harmless,,startofthink,21,2,0.795379102230072
harmless_0,harmless,,startofthink,21,3,3.4881200790405273
harmless_0,harmless,,startofthink,21,4,2.0286333560943604
harmless_0,harmless,,startofthink,24,0,-0.07970905303955078
harmless_0,harmless,,startofthink,24,1,0.8595593571662903
harmless_0,harmless,,startofthink,24,2,1.1728167533874512
harmless_0,harmless,,startofthink,24,3,2.796483278274536
harmless_0,harmless,,startofthink,24,4,-0.5544754266738892
harmless_0,harmless,,startofthink,35,0,-1.0995445251464844
harmless_0,harmless,,startofthink,35,1,-1.2656632661819458
harmless_0,harmless,,startofthink,35,2,-1.721488356590271
harmless_0,harmless,,startofthink,35,3,-4.071759223937988
harmless_0,harmless,,startofthink,35,4,-2.0917508602142334
harmless_0,harmless,,endofthink,17,0,3.9573917388916016
harmless_0,harmless,,endofthink,17,1,1.1045736074447632
harmless_0,harmless,,endofthink,17,2,4.343487739562988
harmless_0,harmless,,endofthink,17,3,-8.983409881591797
harmless_0,harmless,,endofthink,17,4,-12.299234390258789
harmless_0,harmless,,endofthink,18,0,0.3252924680709839
harmless_0,harmless,,endofthink,18,1,1.4221861362457275
harmless_0,harmless,,endofthink,18,2,2.507260322570801
harmless_0,harmless,,endofthink,18,3,-5.166394233703613
harmless_0,harmless,,endofthink,18,4,-9.664413452148438
harmless_0,harmless,,endofthink,21,0,2.435035228729248
harmless_0,harmless,,endofthink,21,1,3.079930543899536
harmless_0,harmless,,endofthink,21,2,0.7795968651771545
harmless_0,harmless,,endofthink,21,3,-1.3171130418777466
harmless_0,harmless,,endofthink,21,4,-3.330656051635742
harmless_0,harmless,,endofthink,24,0,3.2325546741485596
harmless_0,harmless,,endofthink,24,1,2.203272819519043
harmless_0,harmless,,endofthink,24,2,-0.1623375415802002
harmless_0,harmless,,endofthink,24,3,3.9165892601013184
harmless_0,harmless,,endofthink,24,4,0.8720924258232117
harmless_0,harmless,,endofthink,35,0,-1.4147093296051025
harmless_0,harmless,,endofthink,35,1,-1.0432440042495728
harmless_0,harmless,,endofthink,35,2,-10.00674057006836
harmless_0,harmless,,endofthink,35,3,-6.094869613647461
harmless_0,harmless,,endofthink,35,4,-0.9580479860305786
harmless_0,harmless,,endofresponse,17,0,1.3812981843948364
harmless_0,harmless,,endofresponse,17,1,2.5684313774108887
harmless_0,harmless,,endofresponse,17,2,5.2958173751831055
harmless_0,harmless,,endofresponse,17,3,-2.5818097591400146
