model,variant,contrast_type,token_position,d_model,best_layer,best_subspace_rank,AUC,AUC_raw,N_complied,N_refused,evaluation_protocol,uses_logistic_regression,uses_pca_subspace,notes
qwen3-14b,behavioral,outcome_behavioral,mixed,5120,26,4,0.7502,0.7502,108,91,in-sample (all 220 examples),False,False,"Best result; replicated in LOGO=0.757"
qwen3-14b,startofthink,behavioral_position,startofthink,5120,best,?,?,?,108,91,in-sample,False,False,"Positional variant of behavioral"
qwen3-14b,endofthink,behavioral_position,endofthink,5120,best,?,?,?,108,91,in-sample,False,False,"Positional variant of behavioral"
qwen3-14b,dvp_startofthink,dvp,startofthink,5120,37,0,0.7360,0.2640,108,91,in-sample,False,False,"auc_raw=0.264 flipped to 0.736; rank=0 means 1D"
qwen3-14b,hvp_startofthink,hvp,startofthink,5120,best,?,?,?,108,91,in-sample,False,False,""
qwen3-14b,dvp_endofthink,dvp,endofthink,5120,best,?,?,?,108,91,in-sample,False,False,""
qwen3-14b,hvp_endofthink,hvp,endofthink,5120,best,?,?,?,108,91,in-sample,False,False,""
qwen3-14b,dvp_endofresponse,dvp,endofresponse,5120,best,?,?,?,108,91,in-sample,False,False,""
qwen3-14b,hvp_endofresponse,hvp,endofresponse,5120,best,?,?,?,108,91,in-sample,False,False,""
gemma4-e4b-it,behavioral,outcome_behavioral,mixed,2560,17,4,0.7468,0.7468,62,144,in-sample,False,False,"Best result; replicated in LOGO=0.809"
gemma4-e4b-it,startofthink,behavioral_position,startofthink,2560,best,?,?,?,62,144,in-sample,False,False,""
gemma4-e4b-it,endofthink,behavioral_position,endofthink,2560,best,?,?,?,62,144,in-sample,False,False,""
gemma4-e4b-it,dvp_startofthink,dvp,startofthink,2560,24,4,0.7404,0.2596,62,144,in-sample,False,False,"auc_raw=0.260 flipped to 0.740"
gemma4-e4b-it,hvp_startofthink,hvp,startofthink,2560,best,?,0.0,0.0,62,144,in-sample,False,False,"ZERO VECTOR (mean_norm=0.000) - degenerate"
gemma4-e4b-it,dvp_endofthink,dvp,endofthink,2560,best,?,?,?,62,144,in-sample,False,False,""
gemma4-e4b-it,hvp_endofthink,hvp,endofthink,2560,best,?,?,?,62,144,in-sample,False,False,""
gemma4-e4b-it,dvp_endofresponse,dvp,endofresponse,2560,best,?,?,?,62,144,in-sample,False,False,""
gemma4-e4b-it,hvp_endofresponse,hvp,endofresponse,2560,best,?,?,?,62,144,in-sample,False,False,""
LOGO_qwen3,behavioral,outcome_behavioral,thinking,5120,26,4,0.757,,,,LOGO (11/11 valid folds),False,False,"Mean of 11 goal-held-out AUCs; see logo_fold_details.csv"
LOGO_gemma4,behavioral,outcome_behavioral,thinking,2560,17,4,0.809,,,,LOGO (8/11 valid folds; goals 1,2,10 excluded),False,False,"n_minority<3 in excluded folds; 11-fold mean=0.806; 8-fold mean=0.809"
