source_example_id,goal_index,condition,enable_thinking,transformed_prompt_tokens,length_match_ratio,target_span_preserved,answer_cue_preserved,validation_passed,validation_notes
goal_index=0|attack_iteration=2|conversation_id=4|target_model=gpt-o4-mini,0,A,True,572,1.0,True,True,True,OK
goal_index=0|attack_iteration=2|conversation_id=4|target_model=gpt-o4-mini,0,D,True,259,,True,True,True,OK
goal_index=0|attack_iteration=2|conversation_id=4|target_model=gpt-o4-mini,0,F,True,550,0.961538,True,True,True,OK
goal_index=0|attack_iteration=2|conversation_id=4|target_model=gpt-o4-mini,0,E,False,572,,True,True,True,OK
goal_index=0|attack_iteration=1|conversation_id=6|target_model=gpt-o4-mini,0,A,True,919,1.0,True,True,True,OK
goal_index=0|attack_iteration=1|conversation_id=6|target_model=gpt-o4-mini,0,D,True,254,,True,True,True,OK
goal_index=0|attack_iteration=1|conversation_id=6|target_model=gpt-o4-mini,0,F,True,880,0.957563,True,True,True,OK
goal_index=0|attack_iteration=1|conversation_id=6|target_model=gpt-o4-mini,0,E,False,919,,True,True,True,OK
goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,0,A,True,1025,1.0,True,True,True,OK
goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,0,D,True,151,,True,True,True,OK
goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,0,F,True,985,0.960976,True,True,True,OK
goal_index=0|attack_iteration=1|conversation_id=5|target_model=gpt-o4-mini,0,E,False,1025,,True,True,True,OK
goal_index=1|attack_iteration=1|conversation_id=1|target_model=gpt-o4-mini,1,A,True,732,1.0,True,True,True,OK
goal_index=1|attack_iteration=1|conversation_id=1|target_model=gpt-o4-mini,1,D,True,342,,True,True,True,OK
goal_index=1|attack_iteration=1|conversation_id=1|target_model=gpt-o4-mini,1,F,True,702,0.959016,True,True,True,OK
goal_index=1|attack_iteration=1|conversation_id=1|target_model=gpt-o4-mini,1,E,False,732,,True,True,True,OK
goal_index=1|attack_iteration=2|conversation_id=4|target_model=gpt-o4-mini,1,A,True,800,1.0,True,True,True,OK
goal_index=1|attack_iteration=2|conversation_id=4|target_model=gpt-o4-mini,1,D,True,193,,True,True,True,OK
goal_index=1|attack_iteration=2|conversation_id=4|target_model=gpt-o4-mini,1,F,True,774,0.9675,True,True,True,OK
