model,component,success_bool,presence_rate,mean_norm_tok_start,mean_norm_tok_end,mean_tok_len,mean_count,miss_rate,n
Qwen_Qwen3-14B,harmful_instruction,True,0.0000,,,,0.0000,1.0000,13
Qwen_Qwen3-14B,benign_puzzle_scaffold,True,1.0000,0.1218,0.8935,676.0000,1.0000,0.0000,13
Qwen_Qwen3-14B,injected_reasoning,True,0.0000,,,,0.0000,1.0000,13
Qwen_Qwen3-14B,final_answer_cue,True,1.0000,0.8924,0.9940,84.3077,1.0000,0.0000,13
Qwen_Qwen3-14B,system_prompt,True,0.0000,,,,0.0000,1.0000,13
Qwen_Qwen3-14B,chat_template_tokens,True,1.0000,0.6635,0.6647,1.0000,3.0000,0.0000,13
Qwen_Qwen3-14B,assistant_generation_marker,True,1.0000,0.9964,1.0000,3.0000,1.0000,0.0000,13
Qwen_Qwen3-14B,harmful_instruction,False,0.1613,0.9647,0.9728,11.8000,0.1613,0.8387,31
Qwen_Qwen3-14B,benign_puzzle_scaffold,False,1.0000,0.0024,0.8910,1163.7419,1.0000,0.0000,31
Qwen_Qwen3-14B,injected_reasoning,False,0.6774,0.3190,0.3245,8.1429,0.6774,0.3226,31
Qwen_Qwen3-14B,final_answer_cue,False,1.0000,0.8907,0.9959,135.9355,1.0000,0.0000,31
Qwen_Qwen3-14B,system_prompt,False,0.0000,,,,0.0000,1.0000,31
Qwen_Qwen3-14B,chat_template_tokens,False,1.0000,0.6645,0.6653,1.0000,3.0000,0.0000,31
Qwen_Qwen3-14B,assistant_generation_marker,False,1.0000,0.9976,1.0000,3.0000,1.0000,0.0000,31
microsoft_Phi-4-mini-reasoning,harmful_instruction,True,0.0000,,,,0.0000,1.0000,13
microsoft_Phi-4-mini-reasoning,benign_puzzle_scaffold,True,1.0000,0.0209,0.8914,877.1538,1.0000,0.0000,13
microsoft_Phi-4-mini-reasoning,injected_reasoning,True,0.0000,,,,0.0000,1.0000,13
microsoft_Phi-4-mini-reasoning,final_answer_cue,True,0.8462,0.8709,0.9978,129.0000,0.8462,0.1538,13
microsoft_Phi-4-mini-reasoning,system_prompt,True,0.0000,,,,0.0000,1.0000,13
microsoft_Phi-4-mini-reasoning,chat_template_tokens,True,1.0000,0.4055,0.4066,1.0000,5.0000,0.0000,13
microsoft_Phi-4-mini-reasoning,assistant_generation_marker,True,1.0000,0.9989,1.0000,1.0000,1.0000,0.0000,13
microsoft_Phi-4-mini-reasoning,harmful_instruction,False,0.0678,0.9315,0.9382,10.0000,0.0678,0.9322,59
microsoft_Phi-4-mini-reasoning,benign_puzzle_scaffold,False,1.0000,0.0159,0.8822,1075.0169,1.0000,0.0000,59
microsoft_Phi-4-mini-reasoning,injected_reasoning,False,0.6102,0.3353,0.3397,6.0833,0.6102,0.3898,59
microsoft_Phi-4-mini-reasoning,final_answer_cue,False,0.9831,0.8797,0.9983,153.9828,0.9831,0.0169,59
microsoft_Phi-4-mini-reasoning,system_prompt,False,0.0000,,,,0.0000,1.0000,59
microsoft_Phi-4-mini-reasoning,chat_template_tokens,False,1.0000,0.4045,0.4053,1.0000,5.0000,0.0000,59
microsoft_Phi-4-mini-reasoning,assistant_generation_marker,False,1.0000,0.9991,1.0000,1.0000,1.0000,0.0000,59
